,conn_type,model,modelNum,numtessels,logalpha,Rin,Rout
0,laplace,ridge,0,7,4.0,0.3079073586120352,0.318184951789556
1,laplace,lasso,1,7,-6.0,0.2990284141363306,0.31029046848664976
2,laplace,WTA,2,7,,0.20064413951459475,0.20146853945211024
3,laplace,ridge,0,40,6.0,0.21239723294799392,0.17866470347907656
4,laplace,lasso,1,40,-4.0,0.20275846148499654,0.16135327219191659
5,laplace,WTA,2,40,,0.1021825477050717,0.06040098436227578
6,laplace,ridge,0,80,6.0,0.18874336705301684,0.12873725994096227
7,laplace,lasso,1,80,-4.0,0.1791062032204207,0.10297407585076034
8,laplace,WTA,2,80,,0.07954688336487853,0.03350498624563049
9,laplace,ridge,0,160,12.0,0.15976954683193248,0.09360780188352626
10,laplace,lasso,1,160,-4.0,0.1532225062703382,0.06643026622633756
11,laplace,WTA,2,160,,0.06014884117498816,0.027634983136088368
12,laplace,ridge,0,240,8.0,0.16433227441179893,0.07525525927326142
13,laplace,lasso,1,240,-6.5,0.15290957436247615,0.04856397981928357
14,laplace,WTA,2,240,,0.07091845347419098,0.01758803237892332
15,sparse,ridge,0,7,4.0,0.3136595019684318,0.3002590669641833
16,sparse,lasso,1,7,-4.5,0.3061354738912259,0.2953091032669825
17,sparse,WTA,2,7,,0.2832477108950305,0.26449845947538664
18,sparse,ridge,0,40,6.0,0.21561608630278162,0.1799716397369533
19,sparse,lasso,1,40,-3.0,0.2323394337058356,0.2154238926458935
20,sparse,WTA,2,40,,0.2279744479171904,0.22478307872231548
21,sparse,ridge,0,80,6.0,0.1893126556266383,0.12166806710479575
22,sparse,lasso,1,80,-4.0,0.18384009694694964,0.11332947951926323
23,sparse,WTA,2,80,,0.14749920343151982,0.11573998942744772
24,sparse,ridge,0,160,6.0,0.1723102719163077,0.08835993947190446
25,sparse,lasso,1,160,-4.0,0.16698019691680582,0.07175487606197778
26,sparse,WTA,2,160,,0.10170952380406142,0.05935614940030435
27,sparse,ridge,0,240,12.0,0.1651619980256656,0.0700538536436785
28,sparse,lasso,1,240,-4.5,0.15750382965504506,0.05331327421149056
29,sparse,WTA,2,240,,0.09501484078397356,0.04332722239325797
30,one2one,ridge,0,7,4.0,0.31409148445924523,0.3097968305144174
31,one2one,lasso,1,7,-4.0,0.3181035023210378,0.31500497653273946
32,one2one,WTA,2,7,,0.3720116072243157,0.37252688060832373
33,one2one,ridge,0,40,6.0,0.21826418009720397,0.17011950774602408
34,one2one,lasso,1,40,-3.0,0.2728906929506086,0.26258615542461333
35,one2one,WTA,2,40,,0.34461473051028446,0.3479505874398944
36,one2one,ridge,0,80,6.0,0.18413734669583778,0.12743493369238343
37,one2one,lasso,1,80,-3.0,0.23765959047912236,0.2198331031351242
38,one2one,WTA,2,80,,0.3106701101016366,0.3104099164288271
39,one2one,ridge,0,160,8.0,0.17166240894871462,0.09792836276945402
40,one2one,lasso,1,160,-3.0,0.22245598939269368,0.19558767383455122
41,one2one,WTA,2,160,,0.30036027485280087,0.28875780622856734
42,one2one,ridge,0,240,7.0,0.16741935772608593,0.07996892763658048
43,one2one,lasso,1,240,-3.0,0.2117115141131396,0.1863177055558173
44,one2one,WTA,2,240,,0.284262810343221,0.282353201290455
45,normal,ridge,0,7,4.0,0.30724916191530166,0.31041052791410295
46,normal,lasso,1,7,-7.0,0.29653617074645694,0.2996295526577784
47,normal,WTA,2,7,,0.17335147515427626,0.16897073569557164
48,normal,ridge,0,40,6.0,0.21522496571553767,0.1779678126946366
49,normal,lasso,1,40,-4.0,0.19964520196005658,0.1557606409569725
50,normal,WTA,2,40,,0.09954949684065294,0.06506657386155962
51,normal,ridge,0,80,6.0,0.19084246627369542,0.12326957029217461
52,normal,lasso,1,80,-4.0,0.17714164463932294,0.0944585844092618
53,normal,WTA,2,80,,0.08153766078511775,0.031159725307319062
54,normal,ridge,0,160,6.0,0.16991853466307552,0.09371036630326608
55,normal,lasso,1,160,-4.5,0.15856254994004818,0.06324011306283502
56,normal,WTA,2,160,,0.0594994763762461,0.021980696426331516
57,normal,ridge,0,240,7.0,0.17491765917741028,0.07498055126975849
58,normal,lasso,1,240,-7.0,0.16083122341940037,0.046369900037390846
59,normal,WTA,2,240,,0.07724631433666018,0.015531282968650535
